t;x;rho;u;e;p
0;0;1;3.18131e-14;2.5;1
0;0.0001;1;3.18131e-14;2.5;1
0;0.0002;1;3.19453e-14;2.5;1
0;0.0003;1;3.2169e-14;2.5;1
0;0.0004;1;3.2377e-14;2.5;1
0;0.0005;1;3.26086e-14;2.5;1
0;0.0006;1;3.29026e-14;2.5;1
0;0.0007;1;3.31308e-14;2.5;1
0;0.0008;1;3.33476e-14;2.5;1
0;0.0009;1;3.35203e-14;2.5;1
0;0.001;1;3.36779e-14;2.5;1
0;0.0011;1;3.38159e-14;2.5;1
0;0.0012;1;3.40665e-14;2.5;1
0;0.0013;1;3.42446e-14;2.5;1
0;0.0014;1;3.44092e-14;2.5;1
0;0.0015;1;3.45784e-14;2.5;1
0;0.0016;1;3.47778e-14;2.5;1
0;0.0017;1;3.50227e-14;2.5;1
0;0.0018;1;3.51175e-14;2.5;1
0;0.0019;1;3.53472e-14;2.5;1
0;0.002;1;3.56312e-14;2.5;1
0;0.0021;1;3.57959e-14;2.5;1
0;0.0022;1;3.59451e-14;2.5;1
0;0.0023;1;3.61735e-14;2.5;1
0;0.0024;1;3.64017e-14;2.5;1
0;0.0025;1;3.66262e-14;2.5;1
0;0.0026;1;3.68389e-14;2.5;1
0;0.0027;1;3.70648e-14;2.5;1
0;0.0028;1;3.732e-14;2.5;1
0;0.0029;1;3.75568e-14;2.5;1
0;0.003;1;3.77361e-14;2.5;1
0;0.0031;1;3.79334e-14;2.5;1
0;0.0032;1;3.81505e-14;2.5;1
0;0.0033;1;3.82913e-14;2.5;1
0;0.0034;1;3.8492e-14;2.5;1
0;0.0035;1;3.87239e-14;2.5;1
0;0.0036;1;3.89695e-14;2.5;1
0;0.0037;1;3.92043e-14;2.5;1
0;0.0038;1;3.94494e-14;2.5;1
0;0.0039;1;3.963e-14;2.5;1
0;0.004;1;3.97599e-14;2.5;1
0;0.0041;1;3.99797e-14;2.5;1
0;0.0042;1;4.02041e-14;2.5;1
0;0.0043;1;4.04126e-14;2.5;1
0;0.0044;1;4.06505e-14;2.5;1
0;0.0045;1;4.08789e-14;2.5;1
0;0.0046;1;4.10134e-14;2.5;1
0;0.0047;1;4.11909e-14;2.5;1
0;0.0048;1;4.13696e-14;2.5;1
